model,benchmark,score
PCA_MLP_Prefitted,tdcommons/ames,0.8508312283381309
MoLFormer,tdcommons/ames,0.8548160332099708
ChemProp_Mordred,tdcommons/ames,0.8360708061642093
fastprop,tdcommons/ames,0.8473339990992578
PCA_MLP_Prefitted,tdcommons/ames,0.8503397364350193
fastprop,tdcommons/ames,0.8515870684759835
ChemProp_Mordred,tdcommons/ames,0.8252384029450351
RF_Mordred,tdcommons/ames,0.8442842037243729
PCA_MLP_Prefitted,tdcommons/ames,0.8403669545125222
MLP_PLR_Pretrained,tdcommons/lipophilicity-astrazeneca,0.5368057989449727
PCA_MLP_Prefitted,tdcommons/lipophilicity-astrazeneca,0.5835609596400034
fastprop,tdcommons/lipophilicity-astrazeneca,0.5265855010918208
minimol,tdcommons/lipophilicity-astrazeneca,0.46878937671298077
PCA_MLP,tdcommons/lipophilicity-astrazeneca,0.6030120038532075
MolCLR,tdcommons/lipophilicity-astrazeneca,0.7425999800988605
ChemProp,tdcommons/lipophilicity-astrazeneca,0.45633100176992863
PCA_MLP,tdcommons/lipophilicity-astrazeneca,0.5949637422561646
minimol,tdcommons/lipophilicity-astrazeneca,0.5058347956055687
PCA_MLP_Prefitted,tdcommons/lipophilicity-astrazeneca,0.5630414800700687
PCA_MLP_Prefitted,tdcommons/lipophilicity-astrazeneca,0.5772293676081157
minimol,tdcommons/lipophilicity-astrazeneca,0.4705743048020771
PCA_MLP,tdcommons/lipophilicity-astrazeneca,0.6159287048124131
ChemProp,tdcommons/lipophilicity-astrazeneca,0.45328324929873154
PCA_MLP_Prefitted,tdcommons/lipophilicity-astrazeneca,0.588548049739429
minimol,tdcommons/lipophilicity-astrazeneca,0.48741030835537685
PCA_MLP_Prefitted,tdcommons/lipophilicity-astrazeneca,0.5736876527581896
ChemProp,tdcommons/lipophilicity-astrazeneca,0.47825674462886086
fastprop,tdcommons/lipophilicity-astrazeneca,0.5501623697564716
minimol,tdcommons/lipophilicity-astrazeneca,0.4900941756225768
MLP_PLR_Pretrained,tdcommons/lipophilicity-astrazeneca,0.5148938108909697
CheMeleon,tdcommons/lipophilicity-astrazeneca,0.44461670050734564
RF_Morgan,tdcommons/lipophilicity-astrazeneca,0.7226734750566893
MolCLR,tdcommons/lipophilicity-astrazeneca,0.7480546207655043
CheMeleon,tdcommons/lipophilicity-astrazeneca,0.4620257613261541
ChemProp_Mordred,tdcommons/lipophilicity-astrazeneca,0.5539071068820499
RF_Mordred,tdcommons/lipophilicity-astrazeneca,0.5847475846835546
MolCLR,tdcommons/lipophilicity-astrazeneca,0.7342312727598915
ChemProp_Mordred,tdcommons/lipophilicity-astrazeneca,0.5382256717227754
RF_Mordred,tdcommons/lipophilicity-astrazeneca,0.5853345172234944
CheMeleon,tdcommons/lipophilicity-astrazeneca,0.4525998963117599
MolCLR,tdcommons/lipophilicity-astrazeneca,0.7608577149482
ChemProp_Mordred,tdcommons/lipophilicity-astrazeneca,0.5550132062605448
RF_Mordred,tdcommons/lipophilicity-astrazeneca,0.5830668231589454
CheMeleon,tdcommons/lipophilicity-astrazeneca,0.45552008050963994
ChemProp_Mordred,tdcommons/lipophilicity-astrazeneca,0.551013578522773
fastprop,tdcommons/lipophilicity-astrazeneca,0.5504940575872148
RF_Mordred,tdcommons/lipophilicity-astrazeneca,0.5791096051590783
MolCLR,tdcommons/lipophilicity-astrazeneca,0.7477032194705237
MLP_PLR_Pretrained,tdcommons/lipophilicity-astrazeneca,0.49742403111003697
fastprop,tdcommons/lipophilicity-astrazeneca,0.5336093098265784
MLP_PLR_Pretrained,tdcommons/lipophilicity-astrazeneca,0.5245949012949354
PCA_MLP,tdcommons/lipophilicity-astrazeneca,0.6132879855916612
RF_Mordred,tdcommons/lipophilicity-astrazeneca,0.5821450799306234
ChemProp_Mordred,tdcommons/lipophilicity-astrazeneca,0.5631056279738744
MLP_PLR_Pretrained,tdcommons/lipophilicity-astrazeneca,0.5213639254342941
PCA_MLP,tdcommons/lipophilicity-astrazeneca,0.5818180211441858
fastprop,tdcommons/lipophilicity-astrazeneca,0.5547479983170827
ChemProp,tdcommons/lipophilicity-astrazeneca,0.46980536438737597
CheMeleon,tdcommons/lipophilicity-astrazeneca,0.4636812979607355
MoLFormer,tdcommons/lipophilicity-astrazeneca,0.5139134507442026
MoLFormer,tdcommons/lipophilicity-astrazeneca,0.5022154106524374
RF_Morgan,tdcommons/lipophilicity-astrazeneca,0.713804243197279
RF_Morgan,tdcommons/lipophilicity-astrazeneca,0.7161387370777371
RF_Morgan,tdcommons/lipophilicity-astrazeneca,0.7146101539115646
RF_Morgan,tdcommons/lipophilicity-astrazeneca,0.7160445409580499
MoLFormer,tdcommons/lipophilicity-astrazeneca,0.49355294375508535
MoLFormer,tdcommons/lipophilicity-astrazeneca,0.5058922318670028
ChemProp,tdcommons/lipophilicity-astrazeneca,0.45469246210370745
MoLFormer,tdcommons/lipophilicity-astrazeneca,0.5120986479584216
fastprop,tdcommons/ppbr-az,8.212785119345023
MLP_PLR_Pretrained,tdcommons/ppbr-az,7.8202590631201785
MLP_PLR_Pretrained,tdcommons/ppbr-az,7.942715118353611
PCA_MLP,tdcommons/ppbr-az,8.811237517819208
MoLFormer,tdcommons/ppbr-az,10.575902495409807
PCA_MLP,tdcommons/ppbr-az,8.781945891132937
fastprop,tdcommons/ppbr-az,8.146403841076683
minimol,tdcommons/ppbr-az,8.57939893528046
minimol,tdcommons/ppbr-az,9.662332561950137
ChemProp_Mordred,tdcommons/ppbr-az,8.726259480921655
RF_Morgan,tdcommons/ppbr-az,9.834048602347265
RF_Mordred,tdcommons/ppbr-az,8.650838637241097
PCA_MLP,tdcommons/ppbr-az,8.718973857900112
MLP_PLR_Pretrained,tdcommons/ppbr-az,7.756164214214399
PCA_MLP_Prefitted,tdcommons/ppbr-az,8.837133180894664
minimol,tdcommons/ppbr-az,8.795964256655125
PCA_MLP_Prefitted,tdcommons/ppbr-az,8.761373043435631
ChemProp,tdcommons/ppbr-az,8.200249426062078
PCA_MLP,tdcommons/ppbr-az,8.85102696263513
ChemProp,tdcommons/ppbr-az,8.098037824545436
RF_Morgan,tdcommons/ppbr-az,9.949992307749891
PCA_MLP_Prefitted,tdcommons/ppbr-az,8.66080521148518
MLP_PLR_Pretrained,tdcommons/ppbr-az,7.964917150234707
fastprop,tdcommons/ppbr-az,8.477919699134896
MoLFormer,tdcommons/ppbr-az,10.310471324067635
MoLFormer,tdcommons/ppbr-az,10.577345024204424
MolCLR,tdcommons/ppbr-az,9.370072479248046
ChemProp_Mordred,tdcommons/ppbr-az,8.787958548721559
RF_Mordred,tdcommons/ppbr-az,8.697385564268384
CheMeleon,tdcommons/ppbr-az,7.80288519106952
MoLFormer,tdcommons/ppbr-az,10.153532873163924
MolCLR,tdcommons/ppbr-az,9.576218310852596
ChemProp_Mordred,tdcommons/ppbr-az,8.923601403961454
CheMeleon,tdcommons/ppbr-az,7.668181763241243
RF_Morgan,tdcommons/ppbr-az,9.849738877184235
RF_Mordred,tdcommons/ppbr-az,8.64394621792761
CheMeleon,tdcommons/ppbr-az,8.056217212711122
MolCLR,tdcommons/ppbr-az,10.274352580771676
minimol,tdcommons/ppbr-az,9.081451995249086
ChemProp_Mordred,tdcommons/ppbr-az,8.734298377403848
RF_Mordred,tdcommons/ppbr-az,8.661894501223761
ChemProp_Mordred,tdcommons/ppbr-az,9.20716883814612
CheMeleon,tdcommons/ppbr-az,7.723902495082249
MolCLR,tdcommons/ppbr-az,9.671809811395908
RF_Morgan,tdcommons/ppbr-az,9.914376427317144
CheMeleon,tdcommons/ppbr-az,7.825839714910134
fastprop,tdcommons/ppbr-az,8.766118995243408
RF_Mordred,tdcommons/ppbr-az,8.488976169920564
MolCLR,tdcommons/ppbr-az,9.460583823106798
MLP_PLR_Pretrained,tdcommons/ppbr-az,8.11852557733362
ChemProp,tdcommons/ppbr-az,8.365783486681888
fastprop,tdcommons/ppbr-az,8.442498672567242
ChemProp,tdcommons/ppbr-az,7.935351177618201
MoLFormer,tdcommons/ppbr-az,10.22624198572367
PCA_MLP_Prefitted,tdcommons/ppbr-az,8.804038585737906
ChemProp,tdcommons/ppbr-az,7.9328169632640435
PCA_MLP_Prefitted,tdcommons/ppbr-az,8.68616824919508
RF_Morgan,tdcommons/ppbr-az,9.88811203905344
minimol,tdcommons/ppbr-az,9.651369125011357
PCA_MLP,tdcommons/ppbr-az,8.762580445209428
fastprop,polaris/adme-fang-hclint-1,0.6452242176194555
RF_Morgan,polaris/adme-fang-hclint-1,0.503466296018658
MolCLR,polaris/adme-fang-hclint-1,0.5109938338633327
RF_Mordred,polaris/adme-fang-hclint-1,0.6249271871778355
CheMeleon,polaris/adme-fang-hclint-1,0.7167710317978941
minimol,polaris/adme-fang-hclint-1,0.7423974866309099
PCA_MLP,polaris/adme-fang-hclint-1,0.6388664610400132
PCA_MLP,polaris/adme-fang-hclint-1,0.6252502391658061
minimol,polaris/adme-fang-hclint-1,0.7203062330901907
MolCLR,polaris/adme-fang-hclint-1,0.5011019287392592
MLP_PLR_Pretrained,polaris/adme-fang-hclint-1,0.667666484535421
CheMeleon,polaris/adme-fang-hclint-1,0.7133627139485433
RF_Morgan,polaris/adme-fang-hclint-1,0.5153037781016855
RF_Mordred,polaris/adme-fang-hclint-1,0.6344376766236837
RF_Morgan,polaris/adme-fang-hclint-1,0.5093007724691986
PCA_MLP_Prefitted,polaris/adme-fang-hclint-1,0.6393959833868882
MLP_PLR_Pretrained,polaris/adme-fang-hclint-1,0.6760418723499149
