k,display_name,context,metric,mean,std
60.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6573421949923605,0.04992816461193717
61.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.658080682810621,0.048965806859185376
62.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6576351449493676,0.048862652354655776
63.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6590880469866005,0.048617240271618054
64.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6581959389378504,0.048620093671181044
65.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6591751093912654,0.04836281182651432
66.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6588704749566467,0.04729999377085688
67.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6594368457511776,0.047900621260901353
68.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6583604052305264,0.04812747930380125
69.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6589749258194196,0.04858911764066452
70.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6582923360160692,0.048288219895547456
71.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6589717019841208,0.048266140573664205
72.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6588530045448872,0.048266169897515976
73.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6583353896598099,0.047999083621006314
74.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6582801726192752,0.04889445021070901
75.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6580863268007873,0.04839318369569294
76.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6573909593438515,0.049002612831184934
77.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6574512069703627,0.049822786109090515
78.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6576441595361292,0.04946098968800873
79.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6578812546653622,0.04923782234706883
80.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.658083898396231,0.0490273706494593
81.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6576515519751845,0.048921269132567474
82.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6580117863292508,0.0488588831436888
83.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.658230011252084,0.04913858936416798
84.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6583268370106264,0.049547685563296
85.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6589153528020989,0.050009584395725414
86.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6576662138674727,0.05008630355529435
87.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6573684983094055,0.049683249676770756
88.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6582609107132679,0.04900658904878867
89.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.65729130284327,0.050772533605600224
90.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6561338895929236,0.05049203293799148
91.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6562711030901209,0.05054237848278696
92.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6560730107788392,0.04984988191201983
93.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6562123372716819,0.05041965665707233
94.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6561145099655193,0.0499148384711575
95.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6561957958772586,0.0503734250157831
96.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6564078932705049,0.05001569894036705
97.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6562514654601125,0.05049997454395313
98.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.65639822685655,0.050953297769020654
99.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6558043819706205,0.050993216519857255
100.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6557477019129463,0.05074124135501346
101.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6563096772930922,0.050164040409823106
102.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6564632387121003,0.05132483999293734
103.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6557257491196411,0.05023897457147263
104.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6555519138808568,0.051262730281605155
105.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6557141950727186,0.0506474581005239
106.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.65548114600855,0.05173096828750018
107.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6548854582447752,0.052209313545119915
108.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6551304330852128,0.05194609742184047
109.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6547879951282356,0.05211898044898175
110.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6547350910206775,0.052028520855084116
111.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.654801164753717,0.05269041684683706
112.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6546473319099428,0.052755034022319666
113.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6546014453328626,0.05273231522465349
114.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6543949643121028,0.052613918863346196
115.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6540007364457397,0.05289361866300902
116.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6543382432532827,0.0527380218412372
117.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6545409745239061,0.05272824891231269
118.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6542922002672158,0.05273634438866956
119.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6547730271447907,0.05171829061649398
120.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6542621665486119,0.052142598713862585
121.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6546448156607994,0.05198549335844316
122.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6544378623784435,0.05217707668295992
123.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6543848849860805,0.05193760258281812
124.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6542206811511666,0.05189185931416934
125.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6544744574575652,0.05156128398001602
126.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6543434260835727,0.05217177132804466
127.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6548808764850214,0.05140722596999728
128.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6544618193697513,0.051100381344779885
129.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6544621896231217,0.05126436699376758
130.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6546711595730028,0.05172158644235097
131.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6539863730909219,0.0517277566220144
132.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6539630826788391,0.05168935742951183
133.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6535922061519246,0.05175969227123098
134.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6531681852471108,0.05270757146271606
135.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6533815433483189,0.05293905519659597
136.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6528298065540271,0.054071531549465986
137.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.653239858241565,0.05457013594709086
138.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6528152062133085,0.053397594218989305
139.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6532778993471768,0.054221260955131634
140.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.653327929356142,0.054536462288336154
141.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6523037256475311,0.05433667952703646
142.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6535046400527612,0.05381731262845482
143.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6529988003449005,0.05386435465946262
144.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6526456704060992,0.053103236280313194
145.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6522843426585274,0.053445752166079184
146.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6527221927841559,0.05316103824465487
147.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6526635050743704,0.05338772610551917
148.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6524611824054012,0.05394961622521986
149.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.652698107281673,0.05407571537043476
150.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6523430437827303,0.053957621177879396
151.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6522444605673795,0.05379673634101736
152.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6519566255004803,0.05451654137818622
153.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6522832408612251,0.053842972395665774
154.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6514634470172402,0.054765358837081494
155.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6524968858566595,0.054316945470617134
156.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6515570918872953,0.055383891762767465
157.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6526435316897562,0.05488942038066834
158.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6517841258178279,0.05557834584330647
159.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.65209751875347,0.05570257044926363
160.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6515844128555718,0.055464023973343365
161.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6515747458003404,0.05652283385676843
162.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6509053013035603,0.05688674226838886
163.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.650615568258487,0.057110567559229296
164.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6508210518091875,0.05706391874198533
165.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.651039651579305,0.05699712175558233
166.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6507000620284057,0.057628387332990874
167.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6506547500273355,0.056218778323261775
168.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6506310809424031,0.05697369214447359
169.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6504063831295036,0.05666094249213426
170.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6506403384846133,0.05731989579562511
171.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6501989682721587,0.056913335974799015
172.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.64995967071684,0.057225378619984536
173.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6501427935004807,0.05633873844876957
174.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6500416339760774,0.056443095503185915
175.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6503943098257661,0.056521929761437786
176.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.650591303112204,0.056482069185608455
177.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.650334859315725,0.056209549630772855
178.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6504369339755184,0.05654477916180113
179.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6503726113991181,0.05719313922462276
180.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6507227642433235,0.05651279825391465
181.0,CheMeleon (fine-tuned),average,balanced_accuracy,0.6507840110656428,0.05672550023257846
