model,benchmark,score
RF,tdcommons/lipophilicity-astrazeneca,0.7095404963624338
RF_Mordred,tdcommons/lipophilicity-astrazeneca,0.5830668231589454
RF,tdcommons/lipophilicity-astrazeneca,0.7144003851662888
fastprop,tdcommons/lipophilicity-astrazeneca,0.5504940575872148
minimol,tdcommons/lipophilicity-astrazeneca,0.4900941756225768
MoLFormer,tdcommons/lipophilicity-astrazeneca,0.5139134507442026
fastprop,tdcommons/lipophilicity-astrazeneca,0.5547479983170827
MoLFormer,tdcommons/lipophilicity-astrazeneca,0.49355294375508535
RF_Mordred,tdcommons/lipophilicity-astrazeneca,0.5821450799306234
MoLFormer,tdcommons/lipophilicity-astrazeneca,0.5058922318670028
MoLFormer,tdcommons/lipophilicity-astrazeneca,0.5120986479584216
Chemprop,tdcommons/lipophilicity-astrazeneca,0.47825674462886086
fastprop,tdcommons/lipophilicity-astrazeneca,0.5336093098265784
minimol,tdcommons/lipophilicity-astrazeneca,0.46878937671298077
Chemprop,tdcommons/lipophilicity-astrazeneca,0.45633100176992863
RF,tdcommons/lipophilicity-astrazeneca,0.7142814690476189
MiniCheMeleon,tdcommons/lipophilicity-astrazeneca,0.49898194121746786
CheMeleon,tdcommons/lipophilicity-astrazeneca,0.4636812979607355
Chemprop,tdcommons/lipophilicity-astrazeneca,0.46980536438737597
minimol,tdcommons/lipophilicity-astrazeneca,0.5058347956055687
MiniCheMeleon,tdcommons/lipophilicity-astrazeneca,0.497612626007625
MolCLR,tdcommons/lipophilicity-astrazeneca,0.7608577149482
RF_Mordred,tdcommons/lipophilicity-astrazeneca,0.5853345172234944
MolCLR,tdcommons/ppbr-az,9.576218310852596
minimol,tdcommons/ppbr-az,9.081451995249086
Chemprop,tdcommons/ppbr-az,8.098037824545436
MolCLR,tdcommons/ppbr-az,10.274352580771676
RF_Mordred,tdcommons/ppbr-az,8.697385564268384
MiniCheMeleon,tdcommons/ppbr-az,7.7565661956841705
fastprop,tdcommons/ppbr-az,8.442498672567242
RF,tdcommons/ppbr-az,9.395449622314462
CheMeleon,tdcommons/ppbr-az,7.668181763241243
RF,tdcommons/ppbr-az,9.272467961524956
minimol,tdcommons/ppbr-az,9.662332561950137
MoLFormer,tdcommons/ppbr-az,10.310471324067635
Chemprop,tdcommons/ppbr-az,8.365783486681888
MiniCheMeleon,tdcommons/ppbr-az,7.748205843466552
Chemprop,tdcommons/ppbr-az,7.935351177618201
MiniCheMeleon,tdcommons/ppbr-az,7.830574638080087
CheMeleon,tdcommons/ppbr-az,7.723902495082249
RF_Mordred,tdcommons/ppbr-az,8.64394621792761
MolCLR,tdcommons/ppbr-az,9.460583823106798
fastprop,tdcommons/ppbr-az,8.146403841076683
